Blog,Recipe,Link,Time,Ingredients
Sally's baking addiction,Asiago Cheese & Sun-Dried Tomato Quick Bread,https://sallysbakingaddiction.com/asiago-cheese-sun-dried-tomato-quick-bread/,75,"['buttermilk', 'eggs', 'all-purpose flour', 'baking powder', 'baking soda', 'garlic powder', 'granulated sugar', 'salt', 'fresh ground black pepper', 'fresh basil', 'parsley', 'unsalted butter', 'shredded asiago cheese', 'oil-packed sun-dried tomatoes']"
Sally's baking addiction,Glazed Coconut Lime Cookies,https://sallysbakingaddiction.com/coconut-lime-cookies/,150,"['sweetened shredded coconut', 'all-purpose flour', 'cornstarch', 'baking soda', 'salt', 'unsalted butter', 'granulated sugar', 'egg', 'lime juice', 'lime zest', 'coconut extract', 'confectioners’ sugar', 'lime juice']"
Sally's baking addiction,Blackberry Cream Cheese Crumb Cake,https://sallysbakingaddiction.com/blackberry-cream-cheese-crumb-cake/,125,"['unsalted butter', 'granulated sugar', 'eggs', 'pure vanilla extract', 'sour cream', 'all-purpose flour', 'baking powder', 'baking soda', 'salt', 'blackberries', 'cream cheese', 'brown sugar', 'all-purpose flour', 'ground cinnamon', 'unsalted butter', 'confectioners’ sugar', 'milk', 'heavy cream', 'lemon juice', 'pure vanilla extract']"
Sally's baking addiction,Strawberry Cheesecake Pie (No Bake Filling),https://sallysbakingaddiction.com/strawberry-cheesecake-pie/,555,"['crushed pretzel crumbs', 'graham cracker crumbs', 'granulated sugar', 'unsalted butter', 'strawberries', 'heavy cream', 'heavy whipping cream', 'full-fat cream cheese', 'confectioners’ sugar', 'pure vanilla extract', 'sliced strawberries', 'granulated sugar', 'heavy cream', 'heavy whipping cream', 'pure vanilla extract']"
Sally's baking addiction,Double Chocolate Muffins,https://sallysbakingaddiction.com/double-chocolate-muffins/,40,"['all-purpose flour', 'granulated sugar', 'cocoa powder', 'baking soda', 'salt', 'semi-sweet chocolate chips', 'eggs', 'sour cream', 'vegetable oil', 'whole milk', 'pure vanilla extract']"
Sally's baking addiction,Rich & Fluffy Chocolate Sweet Rolls,https://sallysbakingaddiction.com/chocolate-sweet-rolls/,270,"['whole milk', 'granulated sugar', 'yeast', 'unsalted butter', 'eggs', 'salt', 'bread flour', '', 'unsalted butter', 'packed light or dark brown sugar', 'cocoa powder', 'ground cinnamon', 'pure vanilla extract', 'semi-sweet chocolate chips', '4 ounce semi-sweet chocolate bar', 'heavy cream', 'espresso powder', 'confectioners’ sugar', 'pure vanilla extract']"
Sally's baking addiction,Chocolate Chip Loaf Cake,https://sallysbakingaddiction.com/chocolate-chip-loaf-cake/,240,"['all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'granulated sugar', 'eggs', 'sour cream', 'pure vanilla extract', 'whole milk', 'mini chocolate chips', 'mini chocolate chips', 'creamy peanut butter']"
Sally's baking addiction,Lemon Blueberry Tart,https://sallysbakingaddiction.com/lemon-blueberry-tart/,240,"['cornstarch', 'lemon juice', 'blueberries', 'granulated sugar', 'unsalted butter', 'granulated sugar', 'pure vanilla extract', 'salt', 'all-purpose flour', 'sweetened condensed milk', 'lemon juice', 'lemon zest', 'egg yolk']"
Sally's baking addiction,Spinach & Bacon Breakfast Strata,https://sallysbakingaddiction.com/spinach-bacon-breakfast-strata/,150,"['bread', 'uncooked bacon', 'chopped onion', 'garlic cloves', 'spinach', 'parmesan cheese', 'eggs', 'whole milk', 'salt', 'ground mustard', 'ground black pepper', 'optional garnish:']"
Sally's baking addiction,Pineapple Coconut Cake,https://sallysbakingaddiction.com/pineapple-coconut-cake/,300,"['sifted\\xa0cake flour', 'baking powder', 'baking soda', 'salt', 'unsalted butter', 'granulated sugar', 'egg whites', 'sour cream', 'pure vanilla extract', 'coconut extract', 'canned coconut milk', 'pineapple juice', 'sweetened shredded coconut', 'pineapple chunks', 'egg', 'egg yolks', 'granulated sugar', 'cornstarch', 'canned pineapple juice', 'salt', 'unsalted butter', 'cream cheese', 'unsalted butter', 'confectioners’ sugar', 'coconut milk', 'pineapple juice', 'pure vanilla extract', 'salt', 'optional for garnish:']"
