Blog,Recipe,Link,Time,Ingredients
Sally's baking addiction,Asiago Cheese & Sun-Dried Tomato Quick Bread,https://sallysbakingaddiction.com/asiago-cheese-sun-dried-tomato-quick-bread/,"1 hour, 15 minutes","['buttermilk', 'eggs', 'all-purpose flour', 'baking powder', 'baking soda', 'garlic powder', 'granulated sugar', 'salt', 'fresh ground black pepper', 'fresh basil', 'parsley', 'unsalted butter', 'shredded asiago cheese', 'oil-packed sun-dried tomatoes']"
Sally's baking addiction,Glazed Coconut Lime Cookies,https://sallysbakingaddiction.com/coconut-lime-cookies/,"2 hours, 30 minutes","['sweetened shredded coconut', 'all-purpose flour', 'cornstarch', 'baking soda', 'salt', 'unsalted butter', 'granulated sugar', 'egg', 'lime juice', 'lime zest', 'coconut extract', 'confectioners’ sugar', 'lime juice']"
Sally's baking addiction,Blackberry Cream Cheese Crumb Cake,https://sallysbakingaddiction.com/blackberry-cream-cheese-crumb-cake/,"2 hours, 5 minutes","['unsalted butter', 'granulated sugar', 'eggs', 'pure vanilla extract', 'sour cream', 'all-purpose flour', 'baking powder', 'baking soda', 'salt', 'blackberries', 'cream cheese', 'brown sugar', 'all-purpose flour', 'ground cinnamon', 'unsalted butter', 'confectioners’ sugar', 'milk', 'heavy cream', 'lemon juice', 'pure vanilla extract']"
Sally's baking addiction,Strawberry Cheesecake Pie (No Bake Filling),https://sallysbakingaddiction.com/strawberry-cheesecake-pie/,"9 hours, 15 minutes","['crushed pretzel crumbs', 'graham cracker crumbs', 'granulated sugar', 'unsalted butter', 'strawberries', 'heavy cream', 'heavy whipping cream', 'full-fat cream cheese', 'confectioners’ sugar', 'pure vanilla extract', 'sliced strawberries', 'granulated sugar', 'heavy cream', 'heavy whipping cream', 'pure vanilla extract']"
Sally's baking addiction,Double Chocolate Muffins,https://sallysbakingaddiction.com/double-chocolate-muffins/,40 minutes (includes slight cooling),"['all-purpose flour', 'granulated sugar', 'cocoa powder', 'baking soda', 'salt', 'semi-sweet chocolate chips', 'eggs', 'sour cream', 'vegetable oil', 'whole milk', 'pure vanilla extract']"
Sally's baking addiction,Rich & Fluffy Chocolate Sweet Rolls,https://sallysbakingaddiction.com/chocolate-sweet-rolls/,"4 hours, 30 minutes (includes rise times)","['whole milk', 'granulated sugar', 'yeast', 'unsalted butter', 'eggs', 'salt', 'bread flour', '', 'unsalted butter', 'packed light or dark brown sugar', 'cocoa powder', 'ground cinnamon', 'pure vanilla extract', 'semi-sweet chocolate chips', '4 ounce semi-sweet chocolate bar', 'heavy cream', 'espresso powder', 'confectioners’ sugar', 'pure vanilla extract']"
Sally's baking addiction,Chocolate Chip Loaf Cake,https://sallysbakingaddiction.com/chocolate-chip-loaf-cake/,4 hours (includes cooling),"['all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'granulated sugar', 'eggs', 'sour cream', 'pure vanilla extract', 'whole milk', 'mini chocolate chips', 'mini chocolate chips', 'creamy peanut butter']"
Sally's baking addiction,Lemon Blueberry Tart,https://sallysbakingaddiction.com/lemon-blueberry-tart/,4 hours (includes chilling),"['cornstarch', 'lemon juice', 'blueberries', 'granulated sugar', 'unsalted butter', 'granulated sugar', 'pure vanilla extract', 'salt', 'all-purpose flour', 'sweetened condensed milk', 'lemon juice', 'lemon zest', 'egg yolk']"
Sally's baking addiction,Spinach & Bacon Breakfast Strata,https://sallysbakingaddiction.com/spinach-bacon-breakfast-strata/,"2 hours, 30 minutes (or overnight)","['bread', 'uncooked bacon', 'chopped onion', 'garlic cloves', 'spinach', 'parmesan cheese', 'eggs', 'whole milk', 'salt', 'ground mustard', 'ground black pepper', 'optional garnish:']"
Sally's baking addiction,Pineapple Coconut Cake,https://sallysbakingaddiction.com/pineapple-coconut-cake/,5 hours (includes cooling and chilling),"['sifted\xa0cake flour', 'baking powder', 'baking soda', 'salt', 'unsalted butter', 'granulated sugar', 'egg whites', 'sour cream', 'pure vanilla extract', 'coconut extract', 'canned coconut milk', 'pineapple juice', 'sweetened shredded coconut', 'pineapple chunks', 'egg', 'egg yolks', 'granulated sugar', 'cornstarch', 'canned pineapple juice', 'salt', 'unsalted butter', 'cream cheese', 'unsalted butter', 'confectioners’ sugar', 'coconut milk', 'pineapple juice', 'pure vanilla extract', 'salt', 'optional for garnish:']"
Sally's baking addiction,Homemade Cinnamon Rolls (With Overnight Option),https://sallysbakingaddiction.com/overnight-cinnamon-rolls/,"4 hours, 30 minutes (includes rise times)","['whole milk', 'granulated sugar', 'yeast', 'unsalted butter', 'eggs', 'salt', 'all-purpose flour', 'bread flour', 'canola, vegetable', 'olive oil', 'unsalted butter', 'packed light or dark brown sugar', 'granulated sugar', 'ground cinnamon', 'cream cheese', 'confectioners’ sugar', 'heavy cream', 'milk', 'pure vanilla extract']"
Sally's baking addiction,Baileys & Coffee Cupcakes,https://sallysbakingaddiction.com/baileys-coffee-cupcakes/,3 hours (includes cooling),"['cake flour', 'espresso powder', 'baking powder', 'baking soda', 'salt', 'unsalted', 'butter', 'granulated sugar', 'egg whites', 'vanilla extract', 'sour cream', 'strong black coffee', 'baileys irish cream', 'unsalted', 'butter', 'confectioners’ sugar', 'espresso powder', 'baileys irish cream', 'strong black coffee', 'salt', 'chocolate sprinkles']"
Sally's baking addiction,Beginner’s Guide to French Macarons,https://sallysbakingaddiction.com/french-macarons/,"1 hour, 30 minutes","['egg whites', 'cream of tartar', 'extract', 'superfine', 'sugar', 'gel food coloring', 'almond flour', 'confectioners’ sugar', 'desired macaron filling']"
Sally's baking addiction,Cinnamon Crunch Bread,https://sallysbakingaddiction.com/cinnamon-crunch-bread/,4 hours,"['buttermilk', 'water', 'instant', 'active dry yeast', 'granulated sugar', 'unsalted butter', 'egg', 'salt', 'bread flour', 'unsalted butter', 'brown sugar', 'ground cinnamon', 'unsalted butter', 'brown sugar', 'ground cinnamon', 'all-purpose flour', 'bread flour']"
Sally's baking addiction,Sausage Stuffed Peppers,https://sallysbakingaddiction.com/sausage-stuffed-peppers/,1 hour,"['bell peppers', 'olive oil', 'yellow onion', 'italian sausage', 'mushrooms', 'garlic cloves', 'fresh chopped oregano', 'fresh chopped parsley', 'fresh chopped basil', 'salt', 'fresh ground black pepper', 'chicken broth', 'shredded cheese', 'rice', 'quinoa']"
Sally's baking addiction,Raspberry Sugar Cookies,https://sallysbakingaddiction.com/raspberry-sugar-cookies/,"2 hours, 45 minutes","['freeze-dried raspberries', 'all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'cream cheese', 'granulated sugar', 'egg', 'pure vanilla extract', 'almond extract', 'semi-sweet', 'white chocolate']"
Sally's baking addiction,How to Make Chocolate Soufflé,https://sallysbakingaddiction.com/chocolate-souffle/,45 minutes,"['unsalted butter', 'semi-sweet chocolate bar', 'eggs', 'pure vanilla extract', 'salt', 'cream of tartar', 'granulated sugar', 'unsalted butter', 'granulated sugar']"
Sally's baking addiction,Soft Multigrain Bread,https://sallysbakingaddiction.com/multigrain-bread/,"4 hours, 15 minutes","['multigrain cereal mix', 'rolled oats', 'boiling water', 'instant', 'active dry yeast', 'brown sugar', 'unsalted butter', 'salt', 'bread flour', 'sunflower seeds', 'chopped walnuts/pecans, pepitas, raisins, dried cranberries']"
Sally's baking addiction,Rainbow M&M Cookies,https://sallysbakingaddiction.com/rainbow-mm-cookies/,"2 hours, 30 minutes","['all-purpose flour', 'cornstarch', 'baking soda', 'salt', 'unsalted butter', 'brown sugar', 'granulated sugar', 'egg', 'egg yolk', 'pure vanilla extract', 'mini m&ms']"
Sally's baking addiction,Small Chocolate Cake (6 Inch),https://sallysbakingaddiction.com/small-chocolate-cake/,3 hours (includes cake and ganache cooling),"['all-purpose flour', 'cocoa powder', 'baking soda', 'espresso powder', 'salt', 'vegetable oil', 'granulated sugar', 'egg', 'pure vanilla extract', 'buttermilk', 'semi-sweet chocolate', 'heavy cream', 'heavy whipping cream', 'optional garnish:']"
Sally's baking addiction,Lemon Poppy Seed Bread,https://sallysbakingaddiction.com/lemon-poppy-seed-bread/,"1 hour, 30 minutes","['all-purpose flour', 'poppy seeds', 'baking soda', 'baking powder', 'salt', 'egg', 'granulated sugar', 'vegetable oil', 'sour cream', 'whole milk', 'lemon juice', 'lemon zest', 'confectioners’ sugar', 'lemon juice']"
Sally's baking addiction,How to Make Homemade Stromboli,https://sallysbakingaddiction.com/homemade-stromboli/,"2 hours, 30 minutes","['warm water', 'instant or active-dry yeast', 'granulated sugar', 'olive oil', 'salt', 'all-purpose flour', 'unsalted butter', 'garlic cloves', 'fresh parsley', 'thinly', 'sliced meats', 'cheese', 'egg', 'water', 'optional:']"
Sally's baking addiction,Rosemary Garlic Pull Apart Bread,https://sallysbakingaddiction.com/rosemary-garlic-pull-apart-bread/,4 hours,"['platinum yeast by red star', 'granulated sugar', 'whole milk', 'unsalted butter', 'egg', 'all-purpose flour', 'salt', 'garlic powder', 'rosemary', 'unsalted butter', 'rosemary', 'parsley', 'garlic cloves', 'garlic powder', 'salt', 'parmesan, mozzarella', 'white cheddar cheese', 'unsalted butter', 'sea salt']"
Sally's baking addiction,Lemon Ginger Cookies,https://sallysbakingaddiction.com/lemon-ginger-cookies/,2 hours,"['all-purpose flour', 'baking soda', 'ground ginger', 'ground allspice', 'salt', 'unsalted butter', 'granulated sugar', 'egg', 'lemon juice', 'lemon zest', 'pure vanilla extract', 'crystallized ginger', 'confectioners’ sugar', 'lemon juice']"
Sally's baking addiction,Red Velvet Kiss Cookies,https://sallysbakingaddiction.com/red-velvet-kiss-cookies/,3 hours (includes cooling),"['all-purpose flour', 'cocoa powder', 'baking soda', 'salt', 'unsalted butter', 'brown sugar', 'granulated sugar', 'egg', 'pure vanilla extract', 'milk', 'gel red food coloring', 'hershey’s kisses', 'granulated sugar', 'confectioners’ sugar']"
Sally's baking addiction,Sweet Vanilla Bean Biscotti,https://sallysbakingaddiction.com/sweet-vanilla-bean-biscotti/,"1 hour, 25 minutes","['all-purpose flour', 'granulated sugar', 'baking powder', 'salt', 'unsalted butter', 'eggs', 'vegetable oil', 'melted coconut oil', 'pure vanilla extract', 'egg wash:', 'white chocolate bars']"
Sally's baking addiction,Brownie Cookies,https://sallysbakingaddiction.com/brownie-cookies/,50 minutes (includes chilling),"['semi-sweet chocolate', 'all-purpose flour', 'cocoa powder', 'espresso powder', 'baking powder', 'salt', 'unsalted butter', 'brown sugar', 'granulated sugar', 'eggs', 'pure vanilla extract', 'chocolate chips']"
Sally's baking addiction,Apricot Cream Cheese Thumbprint Cookies,https://sallysbakingaddiction.com/apricot-cream-cheese-cookies/,4 hours (includes chilling),"['all-purpose flour', 'baking soda', 'salt', 'full-fat cream cheese', 'unsalted butter', 'granulated sugar', 'egg', 'lemon zest', 'pure vanilla extract', 'almond extract', 'apricot', 'jam', 'preserves', 'sliced almonds', 'confectioners’ sugar']"
Sally's baking addiction,Cinnamon Brown Sugar Stamped Cookies,https://sallysbakingaddiction.com/cinnamon-brown-sugar-stamped-cookies/,3 hours (includes cooling),"['all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'ground nutmeg', 'ground ginger', 'ground cardamom', 'unsalted butter', 'brown sugar', 'granulated sugar', 'molasses', 'maple syrup', 'honey', 'egg', 'pure vanilla extract']"
Sally's baking addiction,Almond Butter Coconut Macaroons (GF),https://sallysbakingaddiction.com/almond-butter-coconut-macaroons/,1 hour (includes cooling),"['sweetened shredded coconut', 'almond flour', 'almond butter', 'egg whites', 'granulated sugar', 'pure vanilla extract', 'semi-sweet chocolate bar', 'sea salt']"
Sally's baking addiction,Mint Chocolate Checkerboard Cookies,https://sallysbakingaddiction.com/mint-chocolate-checkerboard-cookies/,5 hours,"['base cookie dough', 'all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'granulated sugar', 'egg +', 'egg yolk', 'pure vanilla extract', 'water', 'coarse sugar', 'for the mint dough', 'peppermint extract', 'green food dye', 'for the chocolate dough', 'unsweetened natural or dutch-process cocoa powder', 'milk', 'espresso powder']"
Sally's baking addiction,Gingerbread Whoopie Pies,https://sallysbakingaddiction.com/gingerbread-whoopie-pies/,"3 hours, 30 minutes (includes cooling)","['all-purpose flour', 'ground ginger', 'ground cinnamon', 'ground nutmeg', 'ground cloves', 'baking soda', 'baking powder', 'salt', 'molasses', 'hot water', 'granulated sugar', 'vegetable oil', 'egg', 'cream cheese', 'unsalted butter', 'confectioners’ sugar', 'pure vanilla extract', 'ground ginger', 'ground cinnamon', 'ground nutmeg', 'ground cloves']"
Sally's baking addiction,Stained Glass Window Cookies,https://sallysbakingaddiction.com/stained-glass-window-cookies/,3 hours (includes cooling),"['all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'granulated sugar', 'egg', 'pure vanilla extract', 'hard candies', 'egg white', 'water', 'coarse sugar', 'sprinkles']"
Sally's baking addiction,Bûche De Noël (Yule Log),https://sallysbakingaddiction.com/buche-de-noel-yule-log/,10+ hours,"['cranberries', 'rosemary sprigs', 'granulated sugar', 'water', 'cake flour', 'unsweetened natural or dutch-process cocoa powder', 'baking powder', 'salt', 'eggs', 'granulated sugar', 'oil', 'pure vanilla extract', 'unsweetened natural or dutch-process cocoa powder', 'egg white', 'cream of tartar', 'granulated sugar', 'unsweetened natural or dutch-process cocoa powder', 'semi-sweet chocolate', 'heavy cream', 'frangelico liqueur', 'confectioners’ sugar', 'unsweetened natural or dutch-process cocoa powder', 'hazelnuts', 'semi-sweet chocolate', 'heavy cream']"
Sally's baking addiction,Milk Chocolate Mocha Blondies,https://sallysbakingaddiction.com/milk-chocolate-mocha-blondies/,3 hours (includes cooling),"['all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'espresso powder', 'brown sugar', 'egg', 'egg yolk', 'pure vanilla extract', 'milk chocolate', 'espresso powder', 'warm water', 'confectioners’ sugar', 'milk', 'heavy cream']"
Sally's baking addiction,Everything Biscuits,https://sallysbakingaddiction.com/everything-biscuits/,40 minutes,"['poppy seeds', 'sesame seeds', 'dried minced onion', 'dried garlic flakes', 'coarse salt', 'all-purpose flour', 'everything bagel seasoning', 'baking powder', 'baking soda', 'granulated sugar', 'garlic powder', 'salt', 'unsalted butter', 'cream cheese', 'buttermilk', 'buttermilk', 'everything bagel seasoning']"
Sally's baking addiction,Cookies & Cream Pie (Oreo),https://sallysbakingaddiction.com/cookies-cream-pie/,"6 hours, 40 minutes","['oreos', 'unsalted butter', 'heavy cream', 'heavy whipping cream', 'cream cheese', 'confectioners’ sugar', 'pure vanilla extract', 'oreos', 'optional for topping:']"
